fecha;abrir;max;min;cierre;cierre_ajus;
05-12-2023;1,9170;1,9170;1,9170;1,9170;1,9170;
04-12-2023;1,9053;1,9053;1,9053;1,9053;1,9053;
01-12-2023;1,9207;1,9207;1,9207;1,9207;1,9207;
30-11-2023;1,9029;1,9029;1,9029;1,9029;1,9029;
29-11-2023;1,8904;1,8904;1,8904;1,8904;1,8904;
28-11-2023;1,8839;1,8839;1,8839;1,8839;1,8839;
27-11-2023;1,8839;1,8839;1,8839;1,8839;1,8839;
24-11-2023;1,8940;1,8940;1,8940;1,8940;1,8940;
23-11-2023;1,8940;1,8940;1,8940;1,8940;1,8940;
22-11-2023;1,8951;1,8951;1,8951;1,8951;1,8951;
21-11-2023;1,8821;1,8821;1,8821;1,8821;1,8821;
17-11-2023;1,8811;1,8811;1,8811;1,8811;1,8811;
16-11-2023;1,8856;1,8856;1,8856;1,8856;1,8856;
15-11-2023;1,8893;1,8893;1,8893;1,8893;1,8893;
14-11-2023;1,8789;1,8789;1,8789;1,8789;1,8789;
13-11-2023;1,8779;1,8779;1,8779;1,8779;1,8779;
10-11-2023;1,8668;1,8668;1,8668;1,8668;1,8668;
09-11-2023;1,8530;1,8530;1,8530;1,8530;1,8530;
08-11-2023;1,8395;1,8395;1,8395;1,8395;1,8395;
07-11-2023;1,8354;1,8354;1,8354;1,8354;1,8354;
06-11-2023;1,8213;1,8213;1,8213;1,8213;1,8213;
03-11-2023;1,7902;1,7902;1,7902;1,7902;1,7902;
01-11-2023;1,7824;1,7824;1,7824;1,7824;1,7824;
31-10-2023;1,7769;1,7769;1,7769;1,7769;1,7769;
30-10-2023;1,7604;1,7604;1,7604;1,7604;1,7604;
27-10-2023;1,7615;1,7615;1,7615;1,7615;1,7615;
26-10-2023;1,8083;1,8083;1,8083;1,8083;1,8083;
25-10-2023;1,8480;1,8480;1,8480;1,8480;1,8480;
24-10-2023;1,8266;1,8266;1,8266;1,8266;1,8266;
23-10-2023;1,8217;1,8217;1,8217;1,8217;1,8217;
20-10-2023;1,8571;1,8571;1,8571;1,8571;1,8571;
19-10-2023;1,8642;1,8642;1,8642;1,8642;1,8642;
18-10-2023;1,8762;1,8762;1,8762;1,8762;1,8762;
17-10-2023;1,8654;1,8654;1,8654;1,8654;1,8654;
16-10-2023;1,8598;1,8598;1,8598;1,8598;1,8598;
13-10-2023;1,8759;1,8759;1,8759;1,8759;1,8759;
12-10-2023;1,8782;1,8782;1,8782;1,8782;1,8782;
11-10-2023;1,8769;1,8769;1,8769;1,8769;1,8769;
10-10-2023;1,8885;1,8885;1,8885;1,8885;1,8885;
09-10-2023;1,8863;1,8863;1,8863;1,8863;1,8863;
06-10-2023;1,8638;1,8638;1,8638;1,8638;1,8638;
05-10-2023;1,8376;1,8376;1,8376;1,8376;1,8376;
04-10-2023;1,8092;1,8092;1,8092;1,8092;1,8092;
03-10-2023;1,8137;1,8137;1,8137;1,8137;1,8137;
02-10-2023;1,7767;1,7767;1,7767;1,7767;1,7767;
29-09-2023;1,7882;1,7882;1,7882;1,7882;1,7882;
28-09-2023;1,7897;1,7897;1,7897;1,7897;1,7897;
27-09-2023;1,7754;1,7754;1,7754;1,7754;1,7754;
26-09-2023;1,7880;1,7880;1,7880;1,7880;1,7880;
25-09-2023;1,7557;1,7557;1,7557;1,7557;1,7557;
22-09-2023;1,7672;1,7672;1,7672;1,7672;1,7672;
